Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (CVSS score),Custom field (CVSS vector),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Create API to Submit Form Data,MPT-8,10165,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:59 AM,07/Dec/24 8:01 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000cv:,,,,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Implement Input Validation (Backend),MPT-7,10164,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:59 AM,07/Dec/24 8:01 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000cn:,,,,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Design Loan Eligibility Form (Frontend),MPT-6,10163,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:59 AM,07/Dec/24 8:01 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000cf:,,,,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Test Input Validation,MPT-5,10162,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:57 AM,07/Dec/24 8:01 AM,07/Dec/24 7:59 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000c7:,,,Mortgage Prequalification Form,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Create API to Submit Form Data,MPT-4,10161,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:56 AM,07/Dec/24 8:01 AM,07/Dec/24 7:59 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000bz:,,,Mortgage Prequalification Form,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Implement Input Validation (Backend),MPT-3,10160,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:56 AM,07/Dec/24 8:01 AM,07/Dec/24 7:59 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000br:,,,Mortgage Prequalification Form,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Design Loan Eligibility Form (Frontend),MPT-2,10159,Story,In Progress,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:55 AM,07/Dec/24 8:01 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000bj:,,,Mortgage Prequalification Form,,,,,,,,,,,,,,,10158,Mortgage Prequalification Calculator.,In Progress,07/Dec/24 8:01 AM
Mortgage Prequalification Calculator.,MPT-1,10158,Epic,To Do,MPT,Mortgage Prequalification Tool,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 7:40 AM,07/Dec/24 7:42 AM,07/Dec/24 7:41 AM,,10/Dec/24 12:00 AM,0,"Develop a tool to help customers determine if they prequalify for a mortgage based on the following rules:
	•	Applicants must have a debt-to-income (DTI) ratio below 43%.
	•	Monthly mortgage payments cannot exceed 30% of the applicant’s monthly income.
	•	Applicants must have a minimum credit score of 650.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000bb:,,,,04/Dec/24 12:00 AM,,,,,,cc418fe5-a01e-427b-ac1c-8872362d75dc,Project Management Team,,,,,,,,,To Do,07/Dec/24 7:40 AM
User Management API Endpoints,CMA-44,10121,Subtask,Done,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,19/Oct/24 10:06 AM,19/Oct/24 10:07 AM,07/Dec/24 11:42 AM,19/Oct/24 10:06 AM,,0,,,Raghav Thakur,,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000b3:,,,,,,,,,,,,,,,null,"19/Oct/24 10:07 AM;712020:d529e9b4-f98d-41ca-884d-3af31fc7e839;*Create a New User*

* *Endpoint*: {{/api/users}}
* *Method*: {{POST}}
* *Description*: Registers a new user in the system.
*Request Body*
* {
  ""username"": ""johndoe"",
  ""email"": ""[john@example.com|mailto:john@example.com]"",
  ""password"": ""password123""
}

*Response*
{
  ""message"": ""User created successfully"",
  ""user"": {
    ""id"": 1,
    ""username"": ""johndoe"",
    ""email"": ""[john@example.com|mailto:john@example.com]""
  }
}",,10114,Develop API Endpoints for User Management,Done,19/Oct/24 10:06 AM
Create roles and permissions for database users.,CMA-43,10120,Subtask,Done,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,19/Oct/24 10:04 AM,19/Oct/24 10:04 AM,07/Dec/24 11:42 AM,19/Oct/24 10:04 AM,,0,,,Raghav Thakur,,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000av:,,,,,,,,,,,,,,,null,,,10113,Database Setup,Done,19/Oct/24 10:04 AM
making   a database,CMA-42,10119,Subtask,Done,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,19/Oct/24 10:01 AM,19/Oct/24 10:01 AM,07/Dec/24 11:42 AM,19/Oct/24 10:01 AM,,0,,,Raghav Thakur,,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000an:,,,,,,,,,,cc418fe5-a01e-427b-ac1c-8872362d75dc,Project Management Team,,,,null,,,10112,Define Database Schema,Done,19/Oct/24 10:01 AM
Automate Test Execution,CMA-40,10117,Task,QA Engineer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:45 AM,19/Oct/24 1:19 PM,30/Nov/24 12:17 PM,,22/Nov/24 12:00 AM,0,Set up automation for recurring tests using tools like Selenium or JUnit.,,jagjeet singh,Sahilpreet Singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0003f:,,,,13/Nov/24 12:00 AM,,,,,,,,,,2024-10-19 17:19:04.467,,"19/Oct/24 1:19 PM;712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da;*As a QA engineer in our JIRA project, I'm focused on ensuring high-quality deliverables through robust testing processes. Here’s how I approach automation and integration with JIRA:*

# *Test Case Management:* I use our integrated test management tool (like Zephyr or Xray) to create and manage test cases directly linked to JIRA issues. This ensures traceability between requirements and tests.
# *Automation with Selenium and JUnit:* I’m developing automated test scripts using Selenium and JUnit, which allows us to run tests efficiently and consistently. Each test case is linked to specific JIRA tickets, providing clear visibility of testing efforts related to features or bug fixes.
# *Scheduled Test Execution:* I leverage CI/CD tools like Jenkins to automate the execution of our test suite on a regular basis. This helps us catch issues early and maintain a steady flow of quality feedback to the development team.
# *Reporting Results:* After test execution, I ensure that results are automatically reported back to JIRA, keeping our team informed about test outcomes. This includes logging defects for any failures and updating the status of test cases.
# *Continuous Improvement:* I regularly review our testing strategy and adapt it based on feedback and evolving project requirements. This helps us maintain a high standard of quality while aligning with agile practices.",,10105,Quality Assurance and Testing,In Progress,19/Oct/24 10:31 AM
Integration Testing,CMA-39,10116,Task,QA Engineer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:45 AM,19/Oct/24 1:21 PM,19/Oct/24 1:23 PM,,10/Nov/24 12:00 AM,0,"Verify that different modules (frontend, backend, database) work together.",,jagjeet singh,Sahilpreet Singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0003i:,,,,03/Nov/24 12:00 AM,,,,,,,,,,2024-10-19 17:21:27.992,,"19/Oct/24 1:21 PM;712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da;Certainly! Here’s a response you can use as a QA engineer in a JIRA project when discussing how to verify that different modules (frontend, backend, and database) work together:

----

*As a QA engineer in our JIRA project, verifying that different modules—frontend, backend, and database—work together seamlessly is a crucial part of my testing strategy. Here’s how I approach this integration testing:*

h3. 1. *Integration Test Planning*

I start by identifying the key interactions between the modules. This includes defining the workflows that involve frontend requests hitting the backend, which in turn interacts with the database.

h3. 2. *Test Environment Setup*

I ensure that we have a dedicated test environment that mirrors our production setup. This includes deploying the frontend and backend services and configuring the database appropriately. Using tools like Docker can help in maintaining consistent environments.

h3. 3. *Creating Integration Tests*

I write integration tests that cover the following aspects:

* *Frontend to Backend Interaction:* I verify that the frontend properly sends requests to the backend and handles responses correctly. This includes checking for the right HTTP status codes, response formats, and data handling.
* *Backend to Database Interaction:* I test that the backend interacts correctly with the database by performing CRUD operations. This ensures that data is correctly saved, retrieved, updated, and deleted.
* *End-to-End Scenarios:* I design end-to-end tests that simulate real user scenarios, ensuring that all modules work together as intended. These tests validate the entire workflow from user actions in the frontend to data storage in the database.

h3. 4. *Using Tools for Automation*

I leverage tools like *Postman* for API testing, *Jest* or *Mocha* for backend integration tests, and *Selenium* or *Cypress* for frontend tests. This helps automate the verification process and ensures consistency.

h3. 5. *Logging and Monitoring*

I implement logging in our application to monitor interactions between modules during tests. This helps in identifying issues and understanding the flow of data across the system.

h3. 6. *Reporting and Documentation*

After executing the integration tests, I document the results and link any identified issues to the relevant JIRA tickets. This ensures that our team has visibility into integration points and can track progress on fixes.

h3. 7. *Continuous Improvement*

I also participate in regular reviews of our integration testing strategy to incorporate feedback and improve coverage, ensuring we adapt to changes in our application architecture or requirements.",,10105,Quality Assurance and Testing,In Progress,19/Oct/24 10:31 AM
Create Unit Test Cases,CMA-38,10115,Task,QA Engineer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:45 AM,19/Oct/24 1:20 PM,19/Oct/24 1:23 PM,,03/Nov/24 12:00 AM,0,Write unit test cases for both frontend and backend components.,,jagjeet singh,Sahilpreet Singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0003h:,,,,26/Oct/24 12:00 AM,,,,,,,,,,2024-10-19 17:20:35.476,,"19/Oct/24 1:20 PM;712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da;h3. Frontend Unit Testing

For our frontend components, I utilize *Jest* and *React Testing Library*. I focus on writing tests that validate the rendering of components and their behavior. For example, I ensure that:

* Components render with the correct props.
* User interactions, such as button clicks, trigger expected events.
* Conditional rendering behaves as intended based on different states.

By doing this, I help maintain a robust UI that meets our functional requirements.

h3. Backend Unit Testing

On the backend, I use *Jest* (or *Mocha* with Supertest) to test our API endpoints and business logic. My tests cover:

* Response status codes for various scenarios (e.g., valid and invalid inputs).
* Correctness of the data returned in responses.
* Error handling and edge cases.

This thorough testing ensures that our backend services are reliable and meet our application’s functional specifications.

h3. Integration with JIRA

I link each unit test case to relevant JIRA issues, ensuring traceability. This allows our team to monitor testing progress and coverage related to specific features or bug fixes. After executing tests, I document the results in JIRA and create reports for visibility and decision-making.

h3. Continuous Improvement

I also advocate for regular code reviews of our test cases to enhance our testing strategy. This practice helps us identify gaps and improve the overall quality of our codebase.

By implementing a robust unit testing strategy for both frontend and backend, I contribute to delivering high-quality software that aligns with our project goals.",,10105,Quality Assurance and Testing,In Progress,19/Oct/24 10:31 AM
Develop API Endpoints for User Management,CMA-37,10114,Task,Backend Developer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:44 AM,19/Oct/24 10:35 AM,19/Oct/24 1:25 PM,,04/Dec/24 12:00 AM,0,"Create endpoints for user creation, deletion, and updates.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0002u:,,,,11/Nov/24 12:00 AM,,,,,,,,,,,,,,10104,Backend Infrastructure Setup,In Progress,19/Oct/24 10:33 AM
Database Setup,CMA-36,10113,Task,Backend Developer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:44 AM,19/Oct/24 10:35 AM,16/Nov/24 9:55 AM,,18/Nov/24 12:00 AM,0,"Set up the necessary database (e.g., MySQL, PostgreSQL).",,jagjeet singh,Raghav Thakur,712020:152ed106-3290-4698-8fa0-e1d3009626bc,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,,,,,,,,,19/Oct/24 10:15 AM;712020:d529e9b4-f98d-41ca-884d-3af31fc7e839;image-20241019-141514.png;https://jagjeetsingh.atlassian.net/rest/api/3/attachment/content/10000,,,,,,,,,{},,,,,,purple,,,,,0|i0002r:,,,,07/Nov/24 12:00 AM,,,,,,,,,,2024-10-19 13:50:55.159,,19/Oct/24 9:50 AM;712020:d529e9b4-f98d-41ca-884d-3af31fc7e839;im working on it ,"19/Oct/24 10:15 AM;712020:d529e9b4-f98d-41ca-884d-3af31fc7e839;* *DBA (Database Administrator)*
** Full access to all database-related tasks.
** Responsible for creating, managing, and maintaining the database.
* *Backend Developer*
** Access to create and modify database tables and run queries but limited to schema changes and optimization tasks.
* *Data Analyst*
** Read-only access to the database for running queries and generating reports.
* *DevOps Engineer*
** Access for managing database deployment and backup/restore tasks.
** . *Create Roles in Jira*

* Go to *Jira Administration* (⚙️) > *System* > *Project Roles*.
* Click *Add Project Role*.
* Create roles like *DBA*, *Backend Developer*, *Data Analyst*, and *DevOps Engineer*.



!image-20241019-141514.png|width=769,height=265,alt=""image-20241019-141514.png""!",10104,Backend Infrastructure Setup,In Progress,19/Oct/24 10:33 AM
Define Database Schema,CMA-35,10112,Task,Backend Developer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:44 AM,19/Oct/24 10:33 AM,16/Nov/24 11:43 AM,,08/Nov/24 12:00 AM,0,Design and finalize the database schema.,,jagjeet singh,Raghav Thakur,712020:152ed106-3290-4698-8fa0-e1d3009626bc,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0002t:,,,,27/Oct/24 12:00 AM,,,,,,cc418fe5-a01e-427b-ac1c-8872362d75dc,Project Management Team,,,2024-10-19 14:10:38.256,,"19/Oct/24 10:10 AM;712020:d529e9b4-f98d-41ca-884d-3af31fc7e839;h4. Table: {{Users}}

* *id*: Primary key (auto-incremented).
* *username*: Unique string to represent the user's name.
* *email*: Unique string, used for login and communication.
* *password_hash*: Encrypted password.
* *created_at*: Timestamp when the user was created.
* *updated_at*: Timestamp when the user was last updated.
* *is_active*: Boolean to determine if the user is active.",,10104,Backend Infrastructure Setup,In Progress,19/Oct/24 10:33 AM
UI Testing,CMA-34,10111,Task,FRONTEND DEVELOPER,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:43 AM,19/Oct/24 10:35 AM,16/Nov/24 11:43 AM,,28/Nov/24 12:00 AM,0,Perform unit and integration testing for UI components.,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0001y:,,,,17/Nov/24 12:00 AM,,,,,,,,,,,,,,10103,Epic: UI/UX Development and Optimization,In Progress,19/Oct/24 10:32 AM
Responsive Design,CMA-33,10110,Task,FRONTEND DEVELOPER,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:43 AM,19/Oct/24 10:35 AM,16/Nov/24 11:43 AM,,17/Nov/24 12:00 AM,0,Ensure the UI is responsive and works across different devices and screen sizes.,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0001v:,,,,10/Nov/24 12:00 AM,,,,,,,,,,,,,,10103,Epic: UI/UX Development and Optimization,In Progress,19/Oct/24 10:32 AM
Implement UI Components,CMA-32,10109,Task,FRONTEND DEVELOPER,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:43 AM,19/Oct/24 10:35 AM,19/Oct/24 1:25 PM,,13/Nov/24 12:00 AM,0,"Develop reusable components for the UI (buttons, navigation, forms, etc.).",,Harmanpreet Singh,jagjeet singh,712020:19801315-4e26-4e83-8396-5808470fe500,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0001x:,,,,05/Nov/24 12:00 AM,,,,,,,,,,2024-10-19 14:28:50.702,,"19/Oct/24 10:28 AM;712020:19801315-4e26-4e83-8396-5808470fe500; essential for maintaining consistency and efficiency throughout your design process.
*Buttons,*. *Navigation Bar* ,*Forms*",,10103,Epic: UI/UX Development and Optimization,In Progress,19/Oct/24 10:32 AM
Create UI Mockups,CMA-31,10108,Task,FRONTEND DEVELOPER,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:43 AM,19/Oct/24 10:35 AM,16/Nov/24 11:42 AM,,16/Nov/24 12:00 AM,0,Build high-fidelity mockups based on the wireframes.,,Harmanpreet Singh,jagjeet singh,712020:19801315-4e26-4e83-8396-5808470fe500,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0001y:i,,,,31/Oct/24 12:00 AM,,,,,,,,,,2024-10-19 14:26:24.01,,"19/Oct/24 10:26 AM;712020:19801315-4e26-4e83-8396-5808470fe500;High-Fidelity Mockup Components
Header,Main Content Area,Footer",,10103,Epic: UI/UX Development and Optimization,In Progress,19/Oct/24 10:33 AM
Design Wireframes,CMA-30,10107,Task,FRONTEND DEVELOPER,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Harmanpreet Singh,712020:19801315-4e26-4e83-8396-5808470fe500,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:42 AM,19/Oct/24 10:34 AM,16/Nov/24 11:43 AM,,04/Nov/24 12:00 AM,0,Create wireframes for the user interface,,Harmanpreet Singh,jagjeet singh,712020:19801315-4e26-4e83-8396-5808470fe500,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0001r:,,,,22/Oct/24 12:00 AM,,,,,,,,,,2024-10-19 14:24:22.026,,"19/Oct/24 10:24 AM;712020:19801315-4e26-4e83-8396-5808470fe500;*Header*: Logo, Search Bar, Navigation Menu (Home, About, Services, Contact)


*Main Content Area*:

* Featured Image/Banner
* Brief Introduction/Text Block",,10103,Epic: UI/UX Development and Optimization,In Progress,19/Oct/24 10:32 AM
Quality Assurance and Testing,CMA-28,10105,Epic,QA Engineer,CMA,Course_Management_Application,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,19/Oct/24 9:36 AM,19/Oct/24 9:57 AM,19/Oct/24 9:40 AM,,24/Nov/24 12:00 AM,0,"Involves creating test plans, executing tests, and ensuring all features meet the required quality standards.",,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,purple,,,,,0|i0007r:,,,,25/Oct/24 12:00 AM,,,,,,cc418fe5-a01e-427b-ac1c-8872362d75dc,Project Management Team,,,,,19/Oct/24 9:38 AM;712020:152ed106-3290-4698-8fa0-e1d3009626bc;We have to do the testing properly so that we are not getting any complains.,,,,In Progress,19/Oct/24 9:37 AM
